From Date,To Date,PM2.5,PM10
01-01-2020 00:00,01-01-2020 00:15,None,None
01-01-2020 00:15,01-01-2020 00:30,None,None
01-01-2020 00:30,01-01-2020 00:45,None,None
01-01-2020 00:45,01-01-2020 01:00,None,None
01-01-2020 01:00,01-01-2020 01:15,None,None
01-01-2020 01:15,01-01-2020 01:30,None,None
01-01-2020 01:30,01-01-2020 01:45,None,None
01-01-2020 01:45,01-01-2020 02:00,None,None
01-01-2020 02:00,01-01-2020 02:15,None,None
01-01-2020 02:15,01-01-2020 02:30,None,None
01-01-2020 02:30,01-01-2020 02:45,None,None
01-01-2020 02:45,01-01-2020 03:00,None,None
01-01-2020 03:00,01-01-2020 03:15,None,None
01-01-2020 03:15,01-01-2020 03:30,None,None
01-01-2020 03:30,01-01-2020 03:45,None,None
01-01-2020 03:45,01-01-2020 04:00,None,None
01-01-2020 04:00,01-01-2020 04:15,None,None
01-01-2020 04:15,01-01-2020 04:30,None,None
01-01-2020 04:30,01-01-2020 04:45,None,None
01-01-2020 04:45,01-01-2020 05:00,None,None
01-01-2020 05:00,01-01-2020 05:15,None,None
01-01-2020 05:15,01-01-2020 05:30,None,None
01-01-2020 05:30,01-01-2020 05:45,None,None
01-01-2020 05:45,01-01-2020 06:00,None,None
01-01-2020 06:00,01-01-2020 06:15,None,None
01-01-2020 06:15,01-01-2020 06:30,None,None
01-01-2020 06:30,01-01-2020 06:45,None,None
01-01-2020 06:45,01-01-2020 07:00,None,None
01-01-2020 07:00,01-01-2020 07:15,None,None
01-01-2020 07:15,01-01-2020 07:30,None,None
01-01-2020 07:30,01-01-2020 07:45,None,None
01-01-2020 07:45,01-01-2020 08:00,None,None
01-01-2020 08:00,01-01-2020 08:15,None,None
01-01-2020 08:15,01-01-2020 08:30,None,None
01-01-2020 08:30,01-01-2020 08:45,None,None
01-01-2020 08:45,01-01-2020 09:00,None,None
01-01-2020 09:00,01-01-2020 09:15,None,None
01-01-2020 09:15,01-01-2020 09:30,None,None
01-01-2020 09:30,01-01-2020 09:45,None,None
01-01-2020 09:45,01-01-2020 10:00,None,None
01-01-2020 10:00,01-01-2020 10:15,None,None
01-01-2020 10:15,01-01-2020 10:30,None,None
01-01-2020 10:30,01-01-2020 10:45,None,None
01-01-2020 10:45,01-01-2020 11:00,None,None
01-01-2020 11:00,01-01-2020 11:15,None,None
01-01-2020 11:15,01-01-2020 11:30,None,None
01-01-2020 11:30,01-01-2020 11:45,None,None
01-01-2020 11:45,01-01-2020 12:00,None,None
01-01-2020 12:00,01-01-2020 12:15,None,None
01-01-2020 12:15,01-01-2020 12:30,None,None
01-01-2020 12:30,01-01-2020 12:45,None,None
01-01-2020 12:45,01-01-2020 13:00,None,None
01-01-2020 13:00,01-01-2020 13:15,None,None
01-01-2020 13:15,01-01-2020 13:30,None,None
01-01-2020 13:30,01-01-2020 13:45,None,None
01-01-2020 13:45,01-01-2020 14:00,None,None
01-01-2020 14:00,01-01-2020 14:15,None,None
01-01-2020 14:15,01-01-2020 14:30,None,None
01-01-2020 14:30,01-01-2020 14:45,None,None
01-01-2020 14:45,01-01-2020 15:00,None,None
01-01-2020 15:00,01-01-2020 15:15,None,None
01-01-2020 15:15,01-01-2020 15:30,None,None
01-01-2020 15:30,01-01-2020 15:45,None,None
01-01-2020 15:45,01-01-2020 16:00,None,None
01-01-2020 16:00,01-01-2020 16:15,None,None
01-01-2020 16:15,01-01-2020 16:30,None,None
01-01-2020 16:30,01-01-2020 16:45,None,None
01-01-2020 16:45,01-01-2020 17:00,None,None
01-01-2020 17:00,01-01-2020 17:15,None,None
01-01-2020 17:15,01-01-2020 17:30,None,None
