From Date,To Date,PM2.5,PM10
01-01-2020 00:00,01-01-2020 00:15,117,247.67
01-01-2020 00:15,01-01-2020 00:30,107.56,246
01-01-2020 00:30,01-01-2020 00:45,107,246
01-01-2020 00:45,01-01-2020 01:00,107,246
01-01-2020 01:00,01-01-2020 01:15,107,258.42
01-01-2020 01:15,01-01-2020 01:30,132.5,259
01-01-2020 01:30,01-01-2020 01:45,None,259
01-01-2020 01:45,01-01-2020 02:00,134,259
01-01-2020 02:00,01-01-2020 02:15,None,256.17
01-01-2020 02:15,01-01-2020 02:30,None,256
01-01-2020 02:30,01-01-2020 02:45,127,256
01-01-2020 02:45,01-01-2020 03:00,None,256
01-01-2020 03:00,01-01-2020 03:15,127,264.6
01-01-2020 03:15,01-01-2020 03:30,143.06,265
01-01-2020 03:30,01-01-2020 03:45,144,265
01-01-2020 03:45,01-01-2020 04:00,144,265
01-01-2020 04:00,01-01-2020 04:15,144,260.28
01-01-2020 04:15,01-01-2020 04:30,None,260
01-01-2020 04:30,01-01-2020 04:45,150,260
01-01-2020 04:45,01-01-2020 05:00,150,260
01-01-2020 05:00,01-01-2020 05:15,150,285.8
01-01-2020 05:15,01-01-2020 05:30,146.22,287
01-01-2020 05:30,01-01-2020 05:45,None,287
01-01-2020 05:45,01-01-2020 06:00,146,287
01-01-2020 06:00,01-01-2020 06:15,None,282.27
01-01-2020 06:15,01-01-2020 06:30,140.32,282
01-01-2020 06:30,01-01-2020 06:45,140,282
01-01-2020 06:45,01-01-2020 07:00,140,282
01-01-2020 07:00,01-01-2020 07:15,140,327.33
01-01-2020 07:15,01-01-2020 07:30,178.22,330
01-01-2020 07:30,01-01-2020 07:45,180,330
01-01-2020 07:45,01-01-2020 08:00,180,330
01-01-2020 08:00,01-01-2020 08:15,180,301.67
01-01-2020 08:15,01-01-2020 08:30,164.89,300
01-01-2020 08:30,01-01-2020 08:45,164,300
01-01-2020 08:45,01-01-2020 09:00,164,300
01-01-2020 09:00,01-01-2020 09:15,164,252.78
01-01-2020 09:15,01-01-2020 09:30,136.93,250
01-01-2020 09:30,01-01-2020 09:45,135,250
01-01-2020 09:45,01-01-2020 10:00,135,250
01-01-2020 10:00,01-01-2020 10:15,135,229.93
01-01-2020 10:15,01-01-2020 10:30,119.89,229
01-01-2020 10:30,01-01-2020 10:45,119,229
01-01-2020 10:45,01-01-2020 11:00,119,229
01-01-2020 11:00,01-01-2020 11:15,119,209.89
01-01-2020 11:15,01-01-2020 11:30,123.72,209
01-01-2020 11:30,01-01-2020 11:45,None,209
