From Date,To Date,PM2.5,PM10
01-01-2020 00:00,01-01-2020 00:15,353.4,485.32
01-01-2020 00:15,01-01-2020 00:30,368.41,492.81
01-01-2020 00:30,01-01-2020 00:45,401.98,501.9
01-01-2020 00:45,01-01-2020 01:00,434.41,532.72
01-01-2020 01:00,01-01-2020 01:15,450.19,579.63
01-01-2020 01:15,01-01-2020 01:30,465.79,629.07
01-01-2020 01:30,01-01-2020 01:45,490.52,650.39
01-01-2020 01:45,01-01-2020 02:00,507.06,676.76
01-01-2020 02:00,01-01-2020 02:15,500.56,667.82
01-01-2020 02:15,01-01-2020 02:30,488.84,696.85
01-01-2020 02:30,01-01-2020 02:45,490.32,691.98
01-01-2020 02:45,01-01-2020 03:00,504.63,644.67
01-01-2020 03:00,01-01-2020 03:15,517.11,624.78
01-01-2020 03:15,01-01-2020 03:30,514.08,624.51
01-01-2020 03:30,01-01-2020 03:45,508.25,616.89
01-01-2020 03:45,01-01-2020 04:00,501.69,574.53
01-01-2020 04:00,01-01-2020 04:15,482.51,573.39
01-01-2020 04:15,01-01-2020 04:30,475.25,601.93
01-01-2020 04:30,01-01-2020 04:45,482.18,612.51
01-01-2020 04:45,01-01-2020 05:00,492,584.96
01-01-2020 05:00,01-01-2020 05:15,501.69,578.95
01-01-2020 05:15,01-01-2020 05:30,487.96,576.9
01-01-2020 05:30,01-01-2020 05:45,477.15,586.51
01-01-2020 05:45,01-01-2020 06:00,461.5,590.97
01-01-2020 06:00,01-01-2020 06:15,449.57,596.34
01-01-2020 06:15,01-01-2020 06:30,437.88,580.89
01-01-2020 06:30,01-01-2020 06:45,445.65,565.25
01-01-2020 06:45,01-01-2020 07:00,459.59,553.44
01-01-2020 07:00,01-01-2020 07:15,471.44,542.42
01-01-2020 07:15,01-01-2020 07:30,460.56,530.64
01-01-2020 07:30,01-01-2020 07:45,434.66,536.66
01-01-2020 07:45,01-01-2020 08:00,416.53,553.7
01-01-2020 08:00,01-01-2020 08:15,409.32,558.81
01-01-2020 08:15,01-01-2020 08:30,410.65,551.17
01-01-2020 08:30,01-01-2020 08:45,401.74,529.73
01-01-2020 08:45,01-01-2020 09:00,392.71,527.73
01-01-2020 09:00,01-01-2020 09:15,383.47,529.35
01-01-2020 09:15,01-01-2020 09:30,386.71,555.61
01-01-2020 09:30,01-01-2020 09:45,401.73,592.52
01-01-2020 09:45,01-01-2020 10:00,420.25,609.21
01-01-2020 10:00,01-01-2020 10:15,437.85,647.82
01-01-2020 10:15,01-01-2020 10:30,431.51,640.06
01-01-2020 10:30,01-01-2020 10:45,405.03,587.07
01-01-2020 10:45,01-01-2020 11:00,359.41,539.22
01-01-2020 11:00,01-01-2020 11:15,295.27,478.29
01-01-2020 11:15,01-01-2020 11:30,226.33,437.47
01-01-2020 11:30,01-01-2020 11:45,184.86,359.94
01-01-2020 11:45,01-01-2020 12:00,174.26,298.86
01-01-2020 12:00,01-01-2020 12:15,176.89,283.83
01-01-2020 12:15,01-01-2020 12:30,171.76,267.16
01-01-2020 12:30,01-01-2020 12:45,170.19,243.33
01-01-2020 12:45,01-01-2020 13:00,159.14,218.04
01-01-2020 13:00,01-01-2020 13:15,159.32,204.07
01-01-2020 13:15,01-01-2020 13:30,147.46,201.84
01-01-2020 13:30,01-01-2020 13:45,142.55,195.44
01-01-2020 13:45,01-01-2020 14:00,130.85,195.62
01-01-2020 14:00,01-01-2020 14:15,122.03,180.21
01-01-2020 14:15,01-01-2020 14:30,114.35,170.73
01-01-2020 14:30,01-01-2020 14:45,117.9,173.63
01-01-2020 14:45,01-01-2020 15:00,117.94,180.62
01-01-2020 15:00,01-01-2020 15:15,109.78,176.52
01-01-2020 15:15,01-01-2020 15:30,107.97,169.12
01-01-2020 15:30,01-01-2020 15:45,113.35,164.65
01-01-2020 15:45,01-01-2020 16:00,116.78,163.46
01-01-2020 16:00,01-01-2020 16:15,112.31,160.4
01-01-2020 16:15,01-01-2020 16:30,98.5,159.38
01-01-2020 16:30,01-01-2020 16:45,98.01,151.8
01-01-2020 16:45,01-01-2020 17:00,95.99,141.7
01-01-2020 17:00,01-01-2020 17:15,91.12,151.68
01-01-2020 17:15,01-01-2020 17:30,89.66,171.81
01-01-2020 17:30,01-01-2020 17:45,100.53,185.11
01-01-2020 17:45,01-01-2020 18:00,107.61,184.75
01-01-2020 18:00,01-01-2020 18:15,109.48,186.68
01-01-2020 18:15,01-01-2020 18:30,112.23,189.31
01-01-2020 18:30,01-01-2020 18:45,118.57,189.51
01-01-2020 18:45,01-01-2020 19:00,121.56,199.59
01-01-2020 19:00,01-01-2020 19:15,133.7,212.27
01-01-2020 19:15,01-01-2020 19:30,141.44,214.92
01-01-2020 19:30,01-01-2020 19:45,143.07,201.2
01-01-2020 19:45,01-01-2020 20:00,147.64,186.41
01-01-2020 20:00,01-01-2020 20:15,153.54,184.65
01-01-2020 20:15,01-01-2020 20:30,167.51,189.41
01-01-2020 20:30,01-01-2020 20:45,176.26,185.75
01-01-2020 20:45,01-01-2020 21:00,178.06,179.58
