From Date,To Date,PM2.5,PM10
01-01-2020 00:00,01-01-2020 00:15,60.8,None
01-01-2020 00:15,01-01-2020 00:30,63,None
01-01-2020 00:30,01-01-2020 00:45,63,94
01-01-2020 00:45,01-01-2020 01:00,63,None
01-01-2020 01:00,01-01-2020 01:15,75.27,104.17
01-01-2020 01:15,01-01-2020 01:30,79,None
01-01-2020 01:30,01-01-2020 01:45,79,109
01-01-2020 01:45,01-01-2020 02:00,79,109
01-01-2020 02:00,01-01-2020 02:15,76.73,108.33
01-01-2020 02:15,01-01-2020 02:30,76,108
01-01-2020 02:30,01-01-2020 02:45,76,108
01-01-2020 02:45,01-01-2020 03:00,76,108
01-01-2020 03:00,01-01-2020 03:15,79.78,108
01-01-2020 03:15,01-01-2020 03:30,81,108
01-01-2020 03:30,01-01-2020 03:45,81,108
01-01-2020 03:45,01-01-2020 04:00,81,108
01-01-2020 04:00,01-01-2020 04:15,112.73,150.67
01-01-2020 04:15,01-01-2020 04:30,123,172
01-01-2020 04:30,01-01-2020 04:45,123,172
01-01-2020 04:45,01-01-2020 05:00,123,172
01-01-2020 05:00,01-01-2020 05:15,126.8,None
01-01-2020 05:15,01-01-2020 05:30,128,179
01-01-2020 05:30,01-01-2020 05:45,128,None
01-01-2020 05:45,01-01-2020 06:00,128,179
01-01-2020 06:00,01-01-2020 06:15,113.64,None
01-01-2020 06:15,01-01-2020 06:30,109,143
01-01-2020 06:30,01-01-2020 06:45,109,None
01-01-2020 06:45,01-01-2020 07:00,109,143
01-01-2020 07:00,01-01-2020 07:15,101.44,None
01-01-2020 07:15,01-01-2020 07:30,99,136
01-01-2020 07:30,01-01-2020 07:45,99,None
01-01-2020 07:45,01-01-2020 08:00,99,136
01-01-2020 08:00,01-01-2020 08:15,119.4,None
01-01-2020 08:15,01-01-2020 08:30,126,175
01-01-2020 08:30,01-01-2020 08:45,126,None
01-01-2020 08:45,01-01-2020 09:00,126,175
01-01-2020 09:00,01-01-2020 09:15,138.09,None
01-01-2020 09:15,01-01-2020 09:30,142,214
01-01-2020 09:30,01-01-2020 09:45,142,214
01-01-2020 09:45,01-01-2020 10:00,142,214
01-01-2020 10:00,01-01-2020 10:15,137.4,229.59
01-01-2020 10:15,01-01-2020 10:30,136,237
01-01-2020 10:30,01-01-2020 10:45,136,237
01-01-2020 10:45,01-01-2020 11:00,136,237
01-01-2020 11:00,01-01-2020 11:15,139.78,237
01-01-2020 11:15,01-01-2020 11:30,141,237
01-01-2020 11:30,01-01-2020 11:45,141,None
01-01-2020 11:45,01-01-2020 12:00,141,237
01-01-2020 12:00,01-01-2020 12:15,124.28,213.96
01-01-2020 12:15,01-01-2020 12:30,119,203
01-01-2020 12:30,01-01-2020 12:45,119,203
01-01-2020 12:45,01-01-2020 13:00,119,203
01-01-2020 13:00,01-01-2020 13:15,113.71,190.8
01-01-2020 13:15,01-01-2020 13:30,112,185
01-01-2020 13:30,01-01-2020 13:45,112,185
01-01-2020 13:45,01-01-2020 14:00,112,185
01-01-2020 14:00,01-01-2020 14:15,94.62,166.7
01-01-2020 14:15,01-01-2020 14:30,89,158
01-01-2020 14:30,01-01-2020 14:45,89,158
01-01-2020 14:45,01-01-2020 15:00,89,158
01-01-2020 15:00,01-01-2020 15:15,67.08,None
01-01-2020 15:15,01-01-2020 15:30,59,None
01-01-2020 15:30,01-01-2020 15:45,59,99
01-01-2020 15:45,01-01-2020 16:00,59,None
01-01-2020 16:00,01-01-2020 16:15,59.76,98.32
01-01-2020 16:15,01-01-2020 16:30,60,None
01-01-2020 16:30,01-01-2020 16:45,60,98
01-01-2020 16:45,01-01-2020 17:00,60,None
01-01-2020 17:00,01-01-2020 17:15,72.09,116.67
01-01-2020 17:15,01-01-2020 17:30,76,None
01-01-2020 17:30,01-01-2020 17:45,76,126
01-01-2020 17:45,01-01-2020 18:00,76,None
01-01-2020 18:00,01-01-2020 18:15,82.22,137.02
01-01-2020 18:15,01-01-2020 18:30,84,142
01-01-2020 18:30,01-01-2020 18:45,84,142
01-01-2020 18:45,01-01-2020 19:00,84,None
01-01-2020 19:00,01-01-2020 19:15,88.53,150.67
01-01-2020 19:15,01-01-2020 19:30,90,155
01-01-2020 19:30,01-01-2020 19:45,90,155
01-01-2020 19:45,01-01-2020 20:00,90,155
01-01-2020 20:00,01-01-2020 20:15,93.02,134.67
01-01-2020 20:15,01-01-2020 20:30,94,125
01-01-2020 20:30,01-01-2020 20:45,94,125
01-01-2020 20:45,01-01-2020 21:00,94,125
01-01-2020 21:00,01-01-2020 21:15,92.51,122.97
01-01-2020 21:15,01-01-2020 21:30,92,122
01-01-2020 21:30,01-01-2020 21:45,92,122
01-01-2020 21:45,01-01-2020 22:00,92,122
01-01-2020 22:00,01-01-2020 22:15,108.62,138.27
01-01-2020 22:15,01-01-2020 22:30,114,146
01-01-2020 22:30,01-01-2020 22:45,114,146
01-01-2020 22:45,01-01-2020 23:00,114,146
01-01-2020 23:00,01-01-2020 23:15,112.49,141.26
01-01-2020 23:15,01-01-2020 23:30,112,139
01-01-2020 23:30,01-01-2020 23:45,112,139
01-01-2020 23:45,02-01-2020 00:00,112,139
02-01-2020 00:00,02-01-2020 00:15,135.82,164.08
